New_York_State_Statewide_COVID-19_Testing (1),,,,,,
Test Date,County,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed,Infection Rate
04/20/2020,Columbia,2,113,24,913,
04/20/2020,Cortland,0,25,2,841,
04/20/2020,Delaware,0,49,3,430,
04/20/2020,Dutchess,47,"2,331",209,"10,586",
04/20/2020,Erie,38,"2,147",258,"9,106",
04/20/2020,Essex,1,21,5,220,
04/20/2020,Franklin,0,13,3,256,
04/20/2020,Fulton,0,27,4,453,
04/20/2020,Genesee,2,121,8,657,
04/20/2020,Greene,1,87,16,677,
04/20/2020,Hamilton,0,3,0,28,
04/20/2020,Herkimer,1,50,7,520,
04/20/2020,Jefferson,0,54,7,"1,224",
04/20/2020,Kings,664,"37,694","2,300","78,960",
04/20/2020,Lewis,0,9,1,211,
04/20/2020,Livingston,0,39,21,469,
04/20/2020,Madison,0,106,1,784,
04/20/2020,Monroe,16,"1,070",229,"9,385",
04/20/2020,Montgomery,2,37,3,361,
04/20/2020,Nassau,402,"31,079","1,385","72,874",
04/20/2020,New York,231,"18,699","1,099","48,257",
04/20/2020,Niagara,5,260,53,"1,391",
04/20/2020,Oneida,5,284,133,"2,026",
04/20/2020,Onondaga,5,514,101,"7,025",
04/20/2020,Ontario,1,72,43,976,
04/20/2020,Orange,79,"6,561",298,"19,075",
04/20/2020,Orleans,7,53,33,384,
04/20/2020,Oswego,1,49,12,"1,027",
04/20/2020,Otsego,0,49,10,749,
04/20/2020,Putnam,6,605,30,"2,239",
04/20/2020,Queens,799,"42,822","2,498","85,330",
04/20/2020,Rensselaer,6,183,50,"2,412",
04/20/2020,Richmond,208,"10,121",882,"25,291",
04/20/2020,Rockland,111,"9,568",407,"22,672",
04/20/2020,Saratoga,3,257,42,"3,350",
04/20/2020,Schenectady,4,273,23,"2,275",
04/20/2020,Schoharie,0,20,4,310,
04/20/2020,Schuyler,0,7,4,189,
04/20/2020,Seneca,0,18,0,248,
04/20/2020,St. Lawrence,10,120,17,"1,182",
04/20/2020,Steuben,3,170,33,"1,117",
04/20/2020,Suffolk,492,"28,154","1,482","69,080",
04/20/2020,Sullivan,11,555,44,"2,524",
04/20/2020,Tioga,0,37,5,439,
04/20/2020,Tompkins,0,119,4,"2,746",
04/20/2020,Ulster,16,893,85,"5,541",
04/20/2020,Warren,1,102,13,905,
04/20/2020,Washington,3,68,12,614,
04/20/2020,Wayne,1,51,8,725,
04/20/2020,Westchester,350,"24,656","1,208","74,548",
04/20/2020,Wyoming,0,36,6,318,
04/20/2020,Yates,0,10,1,179,
04/19/2020,Albany,5,687,103,"7,135",
04/19/2020,Allegany,0,30,5,360,
04/19/2020,Bronx,549,"29,372","1,707","60,312",
04/19/2020,Broome,7,199,43,"1,426",
04/19/2020,Cattaraugus,0,34,1,472,
04/19/2020,Cayuga,0,36,12,618,
04/19/2020,Chautauqua,0,25,9,636,
04/19/2020,Chemung,0,73,17,916,
04/19/2020,Chenango,0,78,11,486,
04/19/2020,Clinton,2,51,10,527,
04/19/2020,Columbia,4,111,17,889,
04/19/2020,Cortland,0,25,12,839,
04/19/2020,Delaware,0,49,5,427,
04/19/2020,Dutchess,44,"2,284",357,"10,377",
04/19/2020,Erie,39,"2,109",199,"8,848",
04/19/2020,Essex,2,20,4,215,
04/19/2020,Franklin,0,13,5,253,
04/19/2020,Fulton,0,27,3,449,
04/19/2020,Genesee,2,119,14,649,
04/19/2020,Greene,1,86,8,661,
04/19/2020,Hamilton,0,3,0,28,
04/19/2020,Herkimer,0,49,23,513,
04/19/2020,Jefferson,0,54,23,"1,217",
04/19/2020,Kings,548,"37,030","1,835","76,660",
04/19/2020,Lewis,1,9,7,210,
04/19/2020,Livingston,0,39,7,448,
04/19/2020,Madison,0,106,4,783,
04/19/2020,Monroe,22,"1,054",188,"9,156",
04/19/2020,Montgomery,0,35,4,358,
04/19/2020,Nassau,664,"30,677","2,196","71,489",
04/19/2020,New York,248,"18,468",954,"47,158",
04/19/2020,Niagara,9,255,48,"1,338",
04/19/2020,Oneida,4,279,75,"1,893",
04/19/2020,Onondaga,11,509,113,"6,924",
04/19/2020,Ontario,1,71,20,933,
04/19/2020,Orange,103,"6,482",278,"18,777",
04/19/2020,Orleans,0,46,3,351,
04/19/2020,Oswego,1,48,18,"1,015",
04/19/2020,Otsego,1,49,10,739,
04/19/2020,Putnam,7,599,21,"2,209",
04/19/2020,Queens,786,"42,023","2,428","82,832",
04/19/2020,Rensselaer,4,177,51,"2,362",
04/19/2020,Richmond,239,"9,913",874,"24,409",
04/19/2020,Rockland,93,"9,457",316,"22,265",
04/19/2020,Saratoga,3,254,32,"3,308",
04/19/2020,Schenectady,1,269,23,"2,252",
04/19/2020,Schoharie,0,20,4,306,
04/19/2020,Schuyler,1,7,4,185,
04/19/2020,Seneca,0,18,2,248,
04/19/2020,St. Lawrence,5,110,24,"1,165",
04/19/2020,Steuben,0,167,4,"1,084",
04/19/2020,Suffolk,774,"27,662","2,278","67,598",
04/19/2020,Sullivan,7,544,30,"2,480",
04/19/2020,Tioga,2,37,6,434,
04/19/2020,Tompkins,2,119,47,"2,742",
04/19/2020,Ulster,23,877,167,"5,456",
04/19/2020,Warren,5,101,20,892,
04/19/2020,Washington,2,65,9,602,
04/19/2020,Wayne,0,50,2,717,
04/19/2020,Westchester,503,"24,306","1,599","73,340",
04/19/2020,Wyoming,0,36,4,312,
04/19/2020,Yates,1,10,13,178,
04/18/2020,Albany,34,682,305,"7,032",
04/18/2020,Allegany,0,30,7,355,
04/18/2020,Bronx,804,"28,823","2,162","58,605",
04/18/2020,Broome,6,192,52,"1,383",
04/18/2020,Cattaraugus,0,34,17,471,
04/18/2020,Cayuga,0,36,9,606,
04/18/2020,Chautauqua,0,25,20,627,
04/18/2020,Chemung,1,73,15,899,
04/18/2020,Chenango,1,78,13,475,
04/18/2020,Clinton,1,49,12,517,
04/18/2020,Columbia,2,107,34,872,
04/18/2020,Cortland,0,25,11,827,
04/18/2020,Delaware,0,49,10,422,
04/18/2020,Dutchess,39,"2,240",196,"10,020",
04/18/2020,Erie,73,"2,070",367,"8,649",
04/18/2020,Essex,2,18,10,211,
04/18/2020,Franklin,0,13,9,248,
04/18/2020,Fulton,0,27,17,446,
04/18/2020,Genesee,30,117,56,635,
04/18/2020,Greene,3,85,24,653,
04/18/2020,Hamilton,0,3,1,28,
04/18/2020,Herkimer,2,49,20,490,
04/18/2020,Jefferson,4,54,53,"1,194",
04/18/2020,Kings,719,"36,482","2,390","74,825",
04/18/2020,Lewis,0,8,14,203,
04/18/2020,Livingston,2,39,30,441,
04/18/2020,Madison,1,106,7,779,
04/18/2020,Monroe,24,"1,032",202,"8,968",
04/18/2020,Montgomery,1,35,4,354,
04/18/2020,Nassau,833,"30,013","2,658","69,293",
04/18/2020,New York,288,"18,220","1,093","46,204",
04/18/2020,Niagara,12,246,69,"1,290",
04/18/2020,Oneida,7,275,52,"1,818",
04/18/2020,Onondaga,6,498,118,"6,811",
04/18/2020,Ontario,1,70,24,913,
04/18/2020,Orange,113,"6,379",411,"18,499",
04/18/2020,Orleans,5,46,35,348,
04/18/2020,Oswego,2,47,18,997,
04/18/2020,Otsego,1,48,18,729,
04/18/2020,Putnam,10,592,37,"2,188",
04/18/2020,Queens,"1,021","41,237","3,338","80,404",
04/18/2020,Rensselaer,9,173,117,"2,311",
04/18/2020,Richmond,341,"9,674","1,288","23,535",
04/18/2020,Rockland,193,"9,364",547,"21,949",
04/18/2020,Saratoga,7,251,105,"3,276",
04/18/2020,Schenectady,9,268,36,"2,229",
04/18/2020,Schoharie,0,20,2,302,
04/18/2020,Schuyler,0,6,0,181,
04/18/2020,Seneca,0,18,5,246,
04/18/2020,St. Lawrence,7,105,25,"1,141",
04/18/2020,Steuben,7,167,100,"1,080",
04/18/2020,Suffolk,745,"26,888","2,392","65,320",
04/18/2020,Sullivan,13,537,38,"2,450",
04/18/2020,Tioga,3,35,10,428,
04/18/2020,Tompkins,0,117,41,"2,695",
04/18/2020,Ulster,34,854,170,"5,289",
04/18/2020,Warren,2,96,27,872,
04/18/2020,Washington,11,63,35,593,
04/18/2020,Wayne,1,50,6,715,
04/18/2020,Westchester,624,"23,803","2,133","71,741",
04/18/2020,Wyoming,0,36,6,308,
04/18/2020,Yates,0,9,2,165,
04/17/2020,Albany,29,648,291,"6,727",
04/17/2020,Allegany,1,30,15,348,
04/17/2020,Bronx,984,"28,019","2,597","56,443",
04/17/2020,Broome,8,186,64,"1,331",
04/17/2020,Cattaraugus,0,34,15,454,
04/17/2020,Cayuga,0,36,9,597,
04/17/2020,Chautauqua,0,25,22,607,
04/17/2020,Chemung,1,72,32,884,
04/17/2020,Chenango,1,77,11,462,
04/17/2020,Clinton,1,48,16,505,
04/17/2020,Columbia,4,105,32,838,
04/17/2020,Cortland,0,25,19,816,
04/17/2020,Delaware,1,49,8,412,
04/17/2020,Dutchess,59,"2,201",381,"9,824",
04/17/2020,Erie,68,"1,997",262,"8,282",
04/17/2020,Essex,1,16,5,201,
04/17/2020,Franklin,0,13,9,239,
04/17/2020,Fulton,0,27,7,429,
04/17/2020,Genesee,4,87,13,579,
04/17/2020,Greene,5,82,28,629,
04/17/2020,Hamilton,0,3,1,27,
04/17/2020,Herkimer,1,47,18,470,
04/17/2020,Jefferson,0,50,16,"1,141",
04/17/2020,Kings,"1,058","35,763","3,016","72,435",
04/17/2020,Lewis,0,8,0,189,
04/17/2020,Livingston,3,37,20,411,
04/17/2020,Madison,0,105,6,772,
04/17/2020,Monroe,33,"1,008",260,"8,766",
04/17/2020,Montgomery,1,34,4,350,
04/17/2020,Nassau,641,"29,180","1,973","66,635",
04/17/2020,New York,442,"17,932","1,585","45,111",
04/17/2020,Niagara,7,234,53,"1,221",
04/17/2020,Oneida,7,268,85,"1,766",
04/17/2020,Onondaga,9,492,152,"6,693",
04/17/2020,Ontario,2,69,33,889,
04/17/2020,Orange,182,"6,266",575,"18,088",
04/17/2020,Orleans,7,41,14,313,
04/17/2020,Oswego,0,45,14,979,
04/17/2020,Otsego,3,47,18,711,
04/17/2020,Putnam,4,582,13,"2,151",
04/17/2020,Queens,"1,125","40,216","3,347","77,066",
04/17/2020,Rensselaer,14,164,135,"2,194",
04/17/2020,Richmond,302,"9,333","1,106","22,247",
04/17/2020,Rockland,184,"9,171",610,"21,402",
04/17/2020,Saratoga,8,244,98,"3,171",
04/17/2020,Schenectady,9,259,38,"2,193",
04/17/2020,Schoharie,0,20,1,300,
04/17/2020,Schuyler,0,6,4,181,
04/17/2020,Seneca,0,18,2,241,
04/17/2020,St. Lawrence,2,98,6,"1,116",
04/17/2020,Steuben,6,160,92,980,
04/17/2020,Suffolk,"1,108","26,143","3,385","62,928",
04/17/2020,Sullivan,19,524,92,"2,412",
04/17/2020,Tioga,2,32,16,418,
04/17/2020,Tompkins,0,117,44,"2,654",
04/17/2020,Ulster,32,820,239,"5,119",
04/17/2020,Warren,3,94,38,845,
04/17/2020,Washington,4,52,25,558,
04/17/2020,Wayne,0,49,7,709,
04/17/2020,Westchester,703,"23,179","2,298","69,608",
04/17/2020,Wyoming,1,36,6,302,
04/17/2020,Yates,1,9,28,163,
04/16/2020,Albany,38,619,273,"6,436",
04/16/2020,Allegany,1,29,21,333,
04/16/2020,Bronx,"1,103","27,035","2,793","53,846",
04/16/2020,Broome,11,178,82,"1,267",
04/16/2020,Cattaraugus,2,34,31,439,
04/16/2020,Cayuga,0,36,1,588,
04/16/2020,Chautauqua,1,25,32,585,
04/16/2020,Chemung,1,71,9,852,
04/16/2020,Chenango,3,76,16,451,
04/16/2020,Clinton,1,47,21,489,
04/16/2020,Columbia,2,101,20,806,
04/16/2020,Cortland,1,25,13,797,
04/16/2020,Delaware,1,48,10,404,
04/16/2020,Dutchess,57,"2,142",300,"9,443",
04/16/2020,Erie,79,"1,929",348,"8,020",
04/16/2020,Essex,3,15,6,196,
04/16/2020,Franklin,0,13,3,230,
04/16/2020,Fulton,2,27,16,422,
04/16/2020,Genesee,5,83,21,566,
04/16/2020,Greene,3,77,16,601,
04/16/2020,Hamilton,0,3,6,26,
04/16/2020,Herkimer,3,46,30,452,
04/16/2020,Jefferson,2,50,31,"1,125",
04/16/2020,Kings,"1,184","34,705","3,347","69,419",
04/16/2020,Lewis,0,8,2,189,
04/16/2020,Livingston,2,34,18,391,
04/16/2020,Madison,0,105,2,766,
04/16/2020,Monroe,43,975,296,"8,506",
04/16/2020,Montgomery,1,33,10,346,
04/16/2020,Nassau,767,"28,539","2,386","64,662",
04/16/2020,New York,399,"17,490","1,476","43,526",
04/16/2020,Niagara,11,227,56,"1,168",
04/16/2020,Oneida,12,261,82,"1,681",
04/16/2020,Onondaga,21,483,181,"6,541",
04/16/2020,Ontario,2,67,34,856,
04/16/2020,Orange,196,"6,084",512,"17,513",
04/16/2020,Orleans,0,34,4,299,
04/16/2020,Oswego,1,45,28,965,
04/16/2020,Otsego,0,44,9,693,
04/16/2020,Putnam,5,578,11,"2,138",
04/16/2020,Queens,"1,173","39,091","3,056","73,719",
04/16/2020,Rensselaer,13,150,100,"2,059",
04/16/2020,Richmond,347,"9,031","1,084","21,141",
04/16/2020,Rockland,235,"8,987",678,"20,792",
04/16/2020,Saratoga,5,236,77,"3,073",
04/16/2020,Schenectady,5,250,35,"2,155",
04/16/2020,Schoharie,0,20,0,299,
04/16/2020,Schuyler,0,6,8,177,
04/16/2020,Seneca,0,18,3,239,
04/16/2020,St. Lawrence,3,96,16,"1,110",
04/16/2020,Steuben,0,154,25,888,
04/16/2020,Suffolk,853,"25,035","2,496","59,543",
04/16/2020,Sullivan,68,505,192,"2,320",
04/16/2020,Tioga,3,30,13,402,
04/16/2020,Tompkins,1,117,36,"2,610",
04/16/2020,Ulster,27,788,142,"4,880",
04/16/2020,Warren,10,91,41,807,
04/16/2020,Washington,2,48,19,533,
04/16/2020,Wayne,0,49,7,702,
04/16/2020,Westchester,648,"22,476","2,042","67,310",
04/16/2020,Wyoming,1,35,11,296,
04/16/2020,Yates,1,8,10,135,
04/15/2020,Albany,33,581,301,"6,163",
04/15/2020,Allegany,0,28,8,312,
04/15/2020,Bronx,"1,279","25,932","2,939","51,053",
04/15/2020,Broome,14,167,74,"1,185",
04/15/2020,Cattaraugus,0,32,14,408,
04/15/2020,Cayuga,0,36,10,587,
04/15/2020,Chautauqua,0,24,29,553,
04/15/2020,Chemung,1,70,18,843,
04/15/2020,Chenango,2,73,21,435,
04/15/2020,Clinton,1,46,17,468,
04/15/2020,Columbia,3,99,28,786,
04/15/2020,Cortland,1,24,17,784,
04/15/2020,Delaware,1,47,9,394,
04/15/2020,Dutchess,37,"2,085",314,"9,143",
04/15/2020,Erie,99,"1,850",394,"7,672",
04/15/2020,Essex,0,12,8,190,
04/15/2020,Franklin,0,13,11,227,
04/15/2020,Fulton,1,25,13,406,
04/15/2020,Genesee,2,78,12,545,
04/15/2020,Greene,1,74,16,585,
04/15/2020,Hamilton,0,3,0,20,
04/15/2020,Herkimer,3,43,23,422,
04/15/2020,Jefferson,1,48,33,"1,094",
04/15/2020,Kings,"1,552","33,521","3,724","66,072",
04/15/2020,Lewis,1,8,7,187,
04/15/2020,Livingston,1,32,8,373,
04/15/2020,Madison,0,105,7,764,
04/15/2020,Monroe,48,932,259,"8,210",
04/15/2020,Montgomery,0,32,5,336,
04/15/2020,Nassau,"1,057","27,772","2,814","62,276",
04/15/2020,New York,474,"17,091","1,533","42,050",
04/15/2020,Niagara,12,216,82,"1,112",
04/15/2020,Oneida,3,249,32,"1,599",
04/15/2020,Onondaga,13,462,134,"6,360",
04/15/2020,Ontario,3,65,31,822,
04/15/2020,Orange,172,"5,888",521,"17,001",
04/15/2020,Orleans,1,34,5,295,
04/15/2020,Oswego,2,44,18,937,
04/15/2020,Otsego,0,44,15,684,
04/15/2020,Putnam,2,573,6,"2,127",
04/15/2020,Queens,"1,153","37,918","3,144","70,663",
04/15/2020,Rensselaer,13,137,106,"1,959",
04/15/2020,Richmond,386,"8,684","1,184","20,057",
04/15/2020,Rockland,278,"8,752",830,"20,114",
04/15/2020,Saratoga,4,231,92,"2,996",
04/15/2020,Schenectady,8,245,45,"2,120",
04/15/2020,Schoharie,0,20,5,299,
04/15/2020,Schuyler,0,6,5,169,
04/15/2020,Seneca,0,18,2,236,
04/15/2020,St. Lawrence,1,93,48,"1,094",
04/15/2020,Steuben,3,154,20,863,
04/15/2020,Suffolk,904,"24,182","2,536","57,047",
04/15/2020,Sullivan,13,437,39,"2,128",
04/15/2020,Tioga,2,27,16,389,
04/15/2020,Tompkins,1,116,73,"2,574",
04/15/2020,Ulster,28,761,189,"4,738",
04/15/2020,Warren,4,81,35,766,
04/15/2020,Washington,4,46,24,514,
04/15/2020,Wayne,1,49,12,695,
04/15/2020,Westchester,881,"21,828","2,642","65,268",
04/15/2020,Wyoming,0,34,8,285,
04/15/2020,Yates,1,7,2,125,
04/14/2020,Albany,13,548,106,"5,862",
04/14/2020,Allegany,0,28,10,304,
04/14/2020,Bronx,"1,387","24,653","2,622","48,114",
04/14/2020,Broome,7,153,73,"1,111",
04/14/2020,Cattaraugus,0,32,11,394,
04/14/2020,Cayuga,3,36,10,577,
04/14/2020,Chautauqua,1,24,19,524,
04/14/2020,Chemung,5,69,43,825,
04/14/2020,Chenango,3,71,17,414,
04/14/2020,Clinton,0,45,8,451,
04/14/2020,Columbia,12,96,55,758,
04/14/2020,Cortland,1,23,6,767,
04/14/2020,Delaware,1,46,7,385,
04/14/2020,Dutchess,114,"2,048",487,"8,829",
04/14/2020,Erie,83,"1,751",326,"7,278",
04/14/2020,Essex,0,12,3,182,
04/14/2020,Franklin,0,13,4,216,
04/14/2020,Fulton,2,24,9,393,
04/14/2020,Genesee,0,76,15,533,
04/14/2020,Greene,7,73,25,569,
04/14/2020,Hamilton,0,3,0,20,
04/14/2020,Herkimer,1,40,9,399,
04/14/2020,Jefferson,0,47,1,"1,061",
04/14/2020,Kings,"2,663","31,969","5,103","62,348",
04/14/2020,Lewis,0,7,0,180,
04/14/2020,Livingston,0,31,8,365,
04/14/2020,Madison,1,105,4,757,
04/14/2020,Monroe,34,884,353,"7,951",
04/14/2020,Montgomery,0,32,0,331,
04/14/2020,Nassau,"1,465","26,715","3,155","59,462",
04/14/2020,New York,"1,737","16,617","4,068","40,517",
04/14/2020,Niagara,7,204,57,"1,030",
04/14/2020,Oneida,17,246,79,"1,567",
04/14/2020,Onondaga,18,449,219,"6,226",
04/14/2020,Ontario,1,62,25,791,
04/14/2020,Orange,138,"5,716",341,"16,480",
04/14/2020,Orleans,2,33,8,290,
04/14/2020,Oswego,1,42,17,919,
04/14/2020,Otsego,0,44,14,669,
04/14/2020,Putnam,13,571,43,"2,121",
04/14/2020,Queens,"1,712","36,765","3,674","67,519",
04/14/2020,Rensselaer,4,124,42,"1,853",
04/14/2020,Richmond,338,"8,298",743,"18,873",
04/14/2020,Rockland,139,"8,474",371,"19,284",
04/14/2020,Saratoga,3,227,71,"2,904",
04/14/2020,Schenectady,2,237,18,"2,075",
04/14/2020,Schoharie,0,20,1,294,
04/14/2020,Schuyler,0,6,0,164,
04/14/2020,Seneca,0,18,1,234,
04/14/2020,St. Lawrence,0,92,7,"1,046",
04/14/2020,Steuben,4,151,24,843,
04/14/2020,Suffolk,816,"23,278","2,135","54,511",
04/14/2020,Sullivan,9,424,37,"2,089",
04/14/2020,Tioga,1,25,14,373,
04/14/2020,Tompkins,3,115,44,"2,501",
04/14/2020,Ulster,43,733,259,"4,549",
04/14/2020,Warren,0,77,7,731,
04/14/2020,Washington,2,42,8,490,
04/14/2020,Wayne,0,48,20,683,
04/14/2020,Westchester,756,"20,947","2,019","62,626",
04/14/2020,Wyoming,2,34,9,277,
04/14/2020,Yates,0,6,5,123,
04/13/2020,Albany,36,535,216,"5,756",
04/13/2020,Allegany,2,28,14,294,
04/13/2020,Bronx,"1,061","23,266","2,294","45,492",
04/13/2020,Broome,13,146,90,"1,038",
04/13/2020,Cattaraugus,4,32,13,383,
04/13/2020,Cayuga,3,33,52,567,
04/13/2020,Chautauqua,0,23,8,505,
04/13/2020,Chemung,4,64,40,782,
04/13/2020,Chenango,3,68,36,397,
04/13/2020,Clinton,1,45,23,443,
04/13/2020,Columbia,4,84,30,703,
04/13/2020,Cortland,2,22,38,761,
04/13/2020,Delaware,3,45,48,378,
04/13/2020,Dutchess,53,"1,934",566,"8,342",
04/13/2020,Erie,44,"1,668",223,"6,952",
04/13/2020,Essex,0,12,24,179,
04/13/2020,Franklin,1,13,13,212,
04/13/2020,Fulton,1,22,75,384,
04/13/2020,Genesee,5,76,34,518,
04/13/2020,Greene,21,66,93,544,
04/13/2020,Hamilton,0,3,0,20,
04/13/2020,Herkimer,1,39,26,390,
04/13/2020,Jefferson,1,47,37,"1,060",
04/13/2020,Kings,902,"29,306","2,055","57,245",
04/13/2020,Lewis,1,7,11,180,
04/13/2020,Livingston,1,31,20,357,
04/13/2020,Madison,3,104,50,753,
04/13/2020,Monroe,27,850,304,"7,598",
04/13/2020,Montgomery,3,32,56,331,
04/13/2020,Nassau,892,"25,250","2,283","56,307",
04/13/2020,New York,379,"14,880","1,206","36,449",
04/13/2020,Niagara,8,197,48,973,
04/13/2020,Oneida,23,229,100,"1,488",
04/13/2020,Onondaga,15,431,120,"6,007",
04/13/2020,Ontario,4,61,48,766,
04/13/2020,Orange,396,"5,578","1,161","16,139",
04/13/2020,Orleans,5,31,18,282,
04/13/2020,Oswego,3,41,74,902,
04/13/2020,Otsego,1,44,90,655,
04/13/2020,Putnam,56,558,217,"2,078",
04/13/2020,Queens,"1,068","35,053","2,430","63,845",
04/13/2020,Rensselaer,7,120,79,"1,811",
04/13/2020,Richmond,292,"7,960",725,"18,130",
04/13/2020,Rockland,370,"8,335",779,"18,913",
04/13/2020,Saratoga,23,224,193,"2,833",
04/13/2020,Schenectady,31,235,232,"2,057",
04/13/2020,Schoharie,8,20,59,293,
04/13/2020,Schuyler,1,6,11,164,
04/13/2020,Seneca,2,18,33,233,
04/13/2020,St. Lawrence,3,92,29,"1,039",
04/13/2020,Steuben,24,147,90,819,
04/13/2020,Suffolk,819,"22,462","2,246","52,376",
04/13/2020,Sullivan,35,415,133,"2,052",
04/13/2020,Tioga,4,24,52,359,
04/13/2020,Tompkins,2,112,104,"2,457",
04/13/2020,Ulster,60,690,424,"4,290",
04/13/2020,Warren,29,77,67,724,
04/13/2020,Washington,3,40,36,482,
04/13/2020,Wayne,6,48,39,663,
04/13/2020,Westchester,405,"20,191","1,145","60,607",
04/13/2020,Wyoming,1,32,21,268,
04/13/2020,Yates,2,6,5,118,
04/12/2020,Albany,21,499,193,"5,540",
04/12/2020,Allegany,0,26,5,280,
04/12/2020,Bronx,764,"22,205","1,623","43,198",
04/12/2020,Broome,7,133,39,948,
04/12/2020,Cattaraugus,0,28,6,370,
04/12/2020,Cayuga,1,30,5,515,
04/12/2020,Chautauqua,1,23,25,497,
04/12/2020,Chemung,0,60,9,742,
04/12/2020,Chenango,2,65,17,361,
04/12/2020,Clinton,1,44,9,420,
04/12/2020,Columbia,1,80,27,673,
04/12/2020,Cortland,2,20,18,723,
04/12/2020,Delaware,3,42,14,330,
04/12/2020,Dutchess,43,"1,881",499,"7,776",
04/12/2020,Erie,53,"1,624",182,"6,729",
04/12/2020,Essex,0,12,5,155,
04/12/2020,Franklin,0,12,6,199,
04/12/2020,Fulton,0,21,7,309,
04/12/2020,Genesee,2,71,7,484,
04/12/2020,Greene,1,45,14,451,
04/12/2020,Hamilton,0,3,1,20,
04/12/2020,Herkimer,1,38,29,364,
04/12/2020,Jefferson,0,46,24,"1,023",
04/12/2020,Kings,933,"28,404","2,029","55,190",
04/12/2020,Lewis,0,6,3,169,
04/12/2020,Livingston,0,30,5,337,
04/12/2020,Madison,0,101,7,703,
04/12/2020,Monroe,25,823,157,"7,294",
04/12/2020,Montgomery,0,29,2,275,
04/12/2020,Nassau,805,"24,358","2,072","54,024",
04/12/2020,New York,356,"14,501","1,033","35,243",
04/12/2020,Niagara,6,189,29,925,
04/12/2020,Oneida,11,206,61,"1,388",
04/12/2020,Onondaga,19,416,142,"5,887",
04/12/2020,Ontario,0,57,12,718,
04/12/2020,Orange,155,"5,182",492,"14,978",
04/12/2020,Orleans,1,26,6,264,
04/12/2020,Oswego,0,38,10,828,
04/12/2020,Otsego,0,43,35,565,
04/12/2020,Putnam,5,502,8,"1,861",
04/12/2020,Queens,"1,150","33,985","2,481","61,415",
04/12/2020,Rensselaer,8,113,61,"1,732",
04/12/2020,Richmond,352,"7,668",887,"17,405",
04/12/2020,Rockland,244,"7,965",586,"18,134",
04/12/2020,Saratoga,5,201,61,"2,640",
04/12/2020,Schenectady,5,204,27,"1,825",
04/12/2020,Schoharie,0,12,4,234,
04/12/2020,Schuyler,0,5,1,153,
04/12/2020,Seneca,0,16,1,200,
04/12/2020,St. Lawrence,4,89,47,"1,010",
04/12/2020,Steuben,2,123,10,729,
04/12/2020,Suffolk,827,"21,643","2,164","50,130",
04/12/2020,Sullivan,22,380,73,"1,919",
04/12/2020,Tioga,1,20,3,307,
04/12/2020,Tompkins,1,110,31,"2,353",
04/12/2020,Ulster,18,630,242,"3,866",
04/12/2020,Warren,2,48,18,657,
04/12/2020,Washington,3,37,15,446,
04/12/2020,Wayne,0,42,8,624,
04/12/2020,Westchester,473,"19,786","1,163","59,462",
04/12/2020,Wyoming,0,31,2,247,
04/12/2020,Yates,1,4,4,113,
04/11/2020,Albany,32,478,223,"5,347",
04/11/2020,Allegany,0,26,11,275,
04/11/2020,Bronx,964,"21,441","2,081","41,575",
04/11/2020,Broome,9,126,60,909,
04/11/2020,Cattaraugus,9,28,32,364,
04/11/2020,Cayuga,1,29,8,510,
04/11/2020,Chautauqua,1,22,39,472,
04/11/2020,Chemung,0,60,6,733,
04/11/2020,Chenango,2,63,12,344,
04/11/2020,Clinton,0,43,25,411,
04/11/2020,Columbia,2,79,35,646,
04/11/2020,Cortland,1,18,18,705,
04/11/2020,Delaware,0,39,10,316,
04/11/2020,Dutchess,94,"1,838",431,"7,277",
04/11/2020,Erie,99,"1,571",317,"6,547",
04/11/2020,Essex,0,12,12,150,
04/11/2020,Franklin,1,12,8,193,
04/11/2020,Fulton,0,21,11,302,
04/11/2020,Genesee,2,69,19,477,
04/11/2020,Greene,7,44,40,437,
04/11/2020,Hamilton,0,3,0,19,
04/11/2020,Herkimer,0,37,11,335,
04/11/2020,Jefferson,2,46,47,999,
04/11/2020,Kings,"1,228","27,471","2,670","53,161",
04/11/2020,Lewis,0,6,6,166,
04/11/2020,Livingston,0,30,6,332,
04/11/2020,Madison,2,101,9,696,
04/11/2020,Monroe,31,798,220,"7,137",
04/11/2020,Montgomery,0,29,1,273,
04/11/2020,Nassau,969,"23,553","2,307","51,952",
04/11/2020,New York,708,"14,145","1,783","34,210",
04/11/2020,Niagara,16,183,62,896,
04/11/2020,Oneida,14,195,83,"1,327",
04/11/2020,Onondaga,17,397,169,"5,745",
04/11/2020,Ontario,1,57,27,706,
04/11/2020,Orange,180,"5,027",563,"14,486",
04/11/2020,Orleans,1,25,7,258,
04/11/2020,Oswego,1,38,15,818,
04/11/2020,Otsego,0,43,15,530,
04/11/2020,Putnam,3,497,12,"1,853",
04/11/2020,Queens,"1,544","32,835","3,219","58,934",
04/11/2020,Rensselaer,9,105,65,"1,671",
04/11/2020,Richmond,456,"7,316","1,030","16,518",
04/11/2020,Rockland,244,"7,721",569,"17,548",
04/11/2020,Saratoga,9,196,88,"2,579",
04/11/2020,Schenectady,5,199,27,"1,798",
04/11/2020,Schoharie,0,12,2,230,
04/11/2020,Schuyler,0,5,1,152,
04/11/2020,Seneca,0,16,3,199,
